states,erw_sat17,math_sat17,total_sat17,participation_percentage_sat17,english_act17,math_act17,reading_act17,science_act17,composite_act17,participation_percentage_act17
Alabama,593.0,572.0,1165.0,5.0,18.9,18.4,19.7,19.4,19.2,100.0
Alaska,547.0,533.0,1080.0,38.0,18.7,19.8,20.4,19.9,19.8,65.0
Arizona,563.0,553.0,1116.0,30.0,18.6,19.8,20.1,19.8,19.7,62.0
Arkansas,614.0,594.0,1208.0,3.0,18.9,19.0,19.7,19.5,19.4,100.0
California,531.0,524.0,1055.0,53.0,22.5,22.7,23.1,22.2,22.8,31.0
Colorado,606.0,595.0,1201.0,11.0,20.1,20.3,21.2,20.9,20.8,100.0
Connecticut,530.0,512.0,1041.0,100.0,25.5,24.6,25.6,24.6,25.2,31.0
Delaware,503.0,492.0,996.0,100.0,24.1,23.4,24.8,23.6,24.1,18.0
District of Columbia,482.0,468.0,950.0,100.0,24.4,23.5,24.9,23.5,24.2,32.0
Florida,520.0,497.0,1017.0,83.0,19.0,19.4,21.0,19.4,19.8,73.0
Georgia,535.0,515.0,1050.0,61.0,21.0,20.9,22.0,21.3,21.4,55.0
Hawaii,544.0,541.0,1085.0,55.0,17.8,19.2,19.2,19.3,19.0,90.0
Idaho,513.0,493.0,1005.0,93.0,21.9,21.8,23.0,22.1,22.3,38.0
Illinois,559.0,556.0,1115.0,9.0,21.0,21.2,21.6,21.3,21.4,93.0
Indiana,542.0,532.0,1074.0,63.0,22.0,22.4,23.2,22.3,22.6,35.0
Iowa,641.0,635.0,1275.0,2.0,21.2,21.3,22.6,22.1,21.9,67.0
Kansas,632.0,628.0,1260.0,4.0,21.1,21.3,22.3,21.7,21.7,73.0
Kentucky,631.0,616.0,1247.0,4.0,19.6,19.4,20.5,20.1,20.0,100.0
Louisiana,611.0,586.0,1198.0,4.0,19.4,18.8,19.8,19.6,19.5,100.0
Maine,513.0,499.0,1012.0,95.0,24.2,24.0,24.8,23.7,24.3,8.0
Maryland,536.0,52.0,1060.0,69.0,23.3,23.1,24.2,2.3,23.6,28.0
Massachusetts,555.0,551.0,1107.0,76.0,25.4,25.3,25.9,24.7,25.4,29.0
Michigan,509.0,495.0,1005.0,100.0,24.1,23.7,24.5,23.8,24.1,29.0
Minnesota,644.0,651.0,1295.0,3.0,20.4,21.5,21.8,21.6,21.5,100.0
Mississippi,634.0,607.0,1242.0,2.0,18.2,18.1,18.8,18.8,18.6,100.0
Missouri,640.0,631.0,1271.0,3.0,19.8,19.9,20.8,20.5,20.4,100.0
Montana,605.0,591.0,1196.0,10.0,19.0,20.2,21.0,20.5,20.3,100.0
Nebraska,629.0,625.0,1253.0,3.0,20.9,20.9,21.9,21.5,21.4,84.0
Nevada,563.0,553.0,1116.0,26.0,16.3,18.0,18.1,18.2,17.8,100.0
New Hampshire,532.0,520.0,1052.0,96.0,25.4,25.1,26.0,24.9,25.5,18.0
New Jersey,530.0,526.0,1056.0,70.0,23.8,23.8,24.1,23.2,23.9,34.0
New Mexico,577.0,561.0,1138.0,11.0,18.6,19.4,20.4,20.0,19.7,66.0
New York,528.0,523.0,1052.0,67.0,23.8,24.0,24.6,23.9,24.2,31.0
North Carolina,546.0,535.0,1081.0,49.0,17.8,19.3,19.6,19.3,19.1,100.0
North Dakota,635.0,621.0,1256.0,2.0,19.0,20.4,20.5,20.6,20.3,98.0
Ohio,578.0,570.0,1149.0,12.0,21.2,21.6,22.5,22.0,22.0,75.0
Oklahoma,530.0,517.0,1047.0,7.0,18.5,18.8,20.1,19.6,19.4,100.0
Oregon,560.0,548.0,1108.0,43.0,21.2,21.5,22.4,21.7,21.8,40.0
Pennsylvania,540.0,531.0,1071.0,65.0,23.4,23.4,24.2,23.3,23.7,23.0
Rhode Island,539.0,524.0,1062.0,71.0,24.0,23.3,24.7,23.4,24.0,21.0
South Carolina,543.0,521.0,1064.0,50.0,17.5,18.6,19.1,18.9,18.7,100.0
South Dakota,612.0,603.0,1216.0,3.0,20.7,21.5,22.3,22.0,21.8,80.0
Tennessee,623.0,604.0,1228.0,5.0,19.5,19.2,20.1,19.9,19.8,100.0
Texas,513.0,507.0,1020.0,62.0,19.5,20.7,21.1,20.9,20.7,45.0
Utah,624.0,614.0,1238.0,3.0,19.5,19.9,20.8,20.6,20.3,100.0
Vermont,562.0,551.0,1114.0,60.0,23.3,23.1,24.4,23.2,23.6,29.0
Virginia,561.0,541.0,1102.0,65.0,23.5,23.3,24.6,23.5,23.8,29.0
Washington,541.0,534.0,1075.0,64.0,20.9,21.9,22.1,22.0,21.9,29.0
West Virginia,558.0,528.0,1086.0,14.0,20.0,19.4,21.2,20.5,20.4,69.0
Wisconsin,642.0,649.0,1291.0,3.0,19.7,20.4,20.6,20.9,20.5,100.0
Wyoming,626.0,604.0,1230.0,3.0,19.4,19.8,20.8,20.6,20.2,100.0
